outer_target_domain,inner_validation_domain,alpha,recovery,physical_cells,validation_rows,method_cell_macro_mae
CALB,CALCE,1.0,0.0,13,14233,0.47075182392874115
CALB,CALCE,0.5,0.0,13,14233,0.3150134228606932
CALB,CALCE,0.2,0.0,13,14233,0.15523083506333657
CALB,CALCE,0.1,0.0,13,14233,0.09139666109924546
CALB,CALCE,0.05,0.0,13,14233,0.06852512736555708
CALB,CALCE,0.03,0.0,13,14233,0.06105576882257879
CALB,CALCE,0.02,0.0,13,14233,0.0571852609673413
CALB,CALCE,0.015,0.0,13,14233,0.054927138061991294
CALB,CALCE,0.01,0.0,13,14233,0.0520011147816626
CALB,CALCE,0.005,0.0,13,14233,0.051211659814103076
CALB,CALCE,1.0,0.00025,13,14233,0.40361958743699317
CALB,CALCE,0.5,0.00025,13,14233,0.2556785398954848
CALB,CALCE,0.2,0.00025,13,14233,0.11594511858540826
CALB,CALCE,0.1,0.00025,13,14233,0.07402886952343785
CALB,CALCE,0.05,0.00025,13,14233,0.0608713986698628
CALB,CALCE,0.03,0.00025,13,14233,0.056698565097981275
CALB,CALCE,0.02,0.00025,13,14233,0.05435104835026579
CALB,CALCE,0.015,0.00025,13,14233,0.052765420147630596
CALB,CALCE,0.01,0.00025,13,14233,0.050560822464730135
CALB,CALCE,0.005,0.00025,13,14233,0.05094034510527866
CALB,CALCE,1.0,0.0005,13,14233,0.35463273884156293
CALB,CALCE,0.5,0.0005,13,14233,0.21579443752455096
CALB,CALCE,0.2,0.0005,13,14233,0.09493741754798955
CALB,CALCE,0.1,0.0005,13,14233,0.06738646982032881
CALB,CALCE,0.05,0.0005,13,14233,0.0579737690211877
CALB,CALCE,0.03,0.0005,13,14233,0.05494168134347085
CALB,CALCE,0.02,0.0005,13,14233,0.053185433460554786
CALB,CALCE,0.015,0.0005,13,14233,0.051950139543560835
CALB,CALCE,0.01,0.0005,13,14233,0.05003363605652274
CALB,CALCE,0.005,0.0005,13,14233,0.05090652790847905
CALB,CALCE,1.0,0.001,13,14233,0.2954125003772393
CALB,CALCE,0.5,0.001,13,14233,0.16549612581913814
CALB,CALCE,0.2,0.001,13,14233,0.079244062528334
CALB,CALCE,0.1,0.001,13,14233,0.06158789813123275
CALB,CALCE,0.05,0.001,13,14233,0.055430325590990974
CALB,CALCE,0.03,0.001,13,14233,0.05360810042023364
CALB,CALCE,0.02,0.001,13,14233,0.052389541689797994
CALB,CALCE,0.015,0.001,13,14233,0.05140935574886656
CALB,CALCE,0.01,0.001,13,14233,0.04967345228337676
CALB,CALCE,0.005,0.001,13,14233,0.05090715445732938
CALB,CALCE,1.0,0.002,13,14233,0.22993435267864235
CALB,CALCE,0.5,0.002,13,14233,0.11874526699331193
CALB,CALCE,0.2,0.002,13,14233,0.06782680853983025
CALB,CALCE,0.1,0.002,13,14233,0.057382747513406766
CALB,CALCE,0.05,0.002,13,14233,0.05381018379602177
CALB,CALCE,0.03,0.002,13,14233,0.0528539237334391
CALB,CALCE,0.02,0.002,13,14233,0.05194803400901445
CALB,CALCE,0.015,0.002,13,14233,0.051053955454548154
CALB,CALCE,0.01,0.002,13,14233,0.04947346751604224
CALB,CALCE,0.005,0.002,13,14233,0.05095695748116769
CALB,CALCE,1.0,0.005,13,14233,0.14552741255844429
CALB,CALCE,0.5,0.005,13,14233,0.08318358693419851
CALB,CALCE,0.2,0.005,13,14233,0.0592434251641291
CALB,CALCE,0.1,0.005,13,14233,0.05448503731552389
CALB,CALCE,0.05,0.005,13,14233,0.05281619060313
CALB,CALCE,0.03,0.005,13,14233,0.05233233807208902
CALB,CALCE,0.02,0.005,13,14233,0.051602793561309895
CALB,CALCE,0.015,0.005,13,14233,0.05081302858335238
CALB,CALCE,0.01,0.005,13,14233,0.04936000097619252
CALB,CALCE,0.005,0.005,13,14233,0.05100489476361226
CALB,HNEI,1.0,0.0,14,15085,0.3372705618389501
CALB,HNEI,0.5,0.0,14,15085,0.24965667531394065
CALB,HNEI,0.2,0.0,14,15085,0.1367403165082914
CALB,HNEI,0.1,0.0,14,15085,0.0830323705768844
CALB,HNEI,0.05,0.0,14,15085,0.05373164707569859
CALB,HNEI,0.03,0.0,14,15085,0.043345523270777994
CALB,HNEI,0.02,0.0,14,15085,0.03718285447595603
CALB,HNEI,0.015,0.0,14,15085,0.033496879367556756
CALB,HNEI,0.01,0.0,14,15085,0.03184849433632263
CALB,HNEI,0.005,0.0,14,15085,0.057381211669611853
CALB,HNEI,1.0,0.00025,14,15085,0.29226951577839017
CALB,HNEI,0.5,0.00025,14,15085,0.2067622377171451
CALB,HNEI,0.2,0.00025,14,15085,0.10484127158233954
CALB,HNEI,0.1,0.00025,14,15085,0.062302620998662205
CALB,HNEI,0.05,0.00025,14,15085,0.04422646178841317
CALB,HNEI,0.03,0.00025,14,15085,0.03700024792705072
CALB,HNEI,0.02,0.00025,14,15085,0.03220149338462265
CALB,HNEI,0.015,0.00025,14,15085,0.0294329622598356
CALB,HNEI,0.01,0.00025,14,15085,0.028724724056030503
CALB,HNEI,0.005,0.00025,14,15085,0.054863596494701246
CALB,HNEI,1.0,0.0005,14,15085,0.2540264683045681
CALB,HNEI,0.5,0.0005,14,15085,0.1757442937390992
CALB,HNEI,0.2,0.0005,14,15085,0.0849066599983493
CALB,HNEI,0.1,0.0005,14,15085,0.05254895241101543
CALB,HNEI,0.05,0.0005,14,15085,0.039371520126217883
CALB,HNEI,0.03,0.0005,14,15085,0.03347972763306963
CALB,HNEI,0.02,0.0005,14,15085,0.029328871455417172
CALB,HNEI,0.015,0.0005,14,15085,0.026986501912690718
CALB,HNEI,0.01,0.0005,14,15085,0.026654497549057028
CALB,HNEI,0.005,0.0005,14,15085,0.05292176394301223
CALB,HNEI,1.0,0.001,14,15085,0.20695587439605806
CALB,HNEI,0.5,0.001,14,15085,0.13529630856214087
CALB,HNEI,0.2,0.001,14,15085,0.06477109099684858
CALB,HNEI,0.1,0.001,14,15085,0.044039641398994536
CALB,HNEI,0.05,0.001,14,15085,0.03472936070822173
CALB,HNEI,0.03,0.001,14,15085,0.030029176229713496
CALB,HNEI,0.02,0.001,14,15085,0.026468673525036263
CALB,HNEI,0.015,0.001,14,15085,0.024542956876461502
CALB,HNEI,0.01,0.001,14,15085,0.0245173168781222
CALB,HNEI,0.005,0.001,14,15085,0.051224187601968514
CALB,HNEI,1.0,0.002,14,15085,0.15753781291957086
CALB,HNEI,0.5,0.002,14,15085,0.09636578405516978
CALB,HNEI,0.2,0.002,14,15085,0.05074417766797621
CALB,HNEI,0.1,0.002,14,15085,0.037599559273290326
CALB,HNEI,0.05,0.002,14,15085,0.031110856389707675
CALB,HNEI,0.03,0.002,14,15085,0.027257435314813474
CALB,HNEI,0.02,0.002,14,15085,0.0242712718382862
CALB,HNEI,0.015,0.002,14,15085,0.022706875059905318
CALB,HNEI,0.01,0.002,14,15085,0.023014687574593667
CALB,HNEI,0.005,0.002,14,15085,0.050014281407775786
CALB,HNEI,1.0,0.005,14,15085,0.09844798276095366
CALB,HNEI,0.5,0.005,14,15085,0.062351840216030484
CALB,HNEI,0.2,0.005,14,15085,0.03912136123125618
CALB,HNEI,0.1,0.005,14,15085,0.03196509970045578
CALB,HNEI,0.05,0.005,14,15085,0.027791519053314756
CALB,HNEI,0.03,0.005,14,15085,0.024789989123086987
CALB,HNEI,0.02,0.005,14,15085,0.022373054671152488
CALB,HNEI,0.015,0.005,14,15085,0.021098111439927576
CALB,HNEI,0.01,0.005,14,15085,0.021834985355939775
CALB,HNEI,0.005,0.005,14,15085,0.0493903197472131
CALB,HUST,1.0,0.0,77,145735,0.03175727635083299
CALB,HUST,0.5,0.0,77,145735,0.03174185090906277
CALB,HUST,0.2,0.0,77,145735,0.03170182441420072
CALB,HUST,0.1,0.0,77,145735,0.03165471792435807
CALB,HUST,0.05,0.0,77,145735,0.03161183256803918
CALB,HUST,0.03,0.0,77,145735,0.03158274190060749
CALB,HUST,0.02,0.0,77,145735,0.03155324980873335
CALB,HUST,0.015,0.0,77,145735,0.03152340525516979
CALB,HUST,0.01,0.0,77,145735,0.03147156877736901
CALB,HUST,0.005,0.0,77,145735,0.0317744910652909
CALB,HUST,1.0,0.00025,77,145735,0.03272088217697964
CALB,HUST,0.5,0.00025,77,145735,0.03271624735237285
CALB,HUST,0.2,0.00025,77,145735,0.032689762929915295
CALB,HUST,0.1,0.00025,77,145735,0.032651133198190664
CALB,HUST,0.05,0.00025,77,145735,0.032583073747705554
CALB,HUST,0.03,0.00025,77,145735,0.03249591382712794
CALB,HUST,0.02,0.00025,77,145735,0.032369178668430636
CALB,HUST,0.015,0.00025,77,145735,0.03222744288004645
CALB,HUST,0.01,0.00025,77,145735,0.03198510768868644
CALB,HUST,0.005,0.00025,77,145735,0.031929302378805036
CALB,HUST,1.0,0.0005,77,145735,0.032830234942584004
CALB,HUST,0.5,0.0005,77,145735,0.032827837931987326
CALB,HUST,0.2,0.0005,77,145735,0.0328039303011946
CALB,HUST,0.1,0.0005,77,145735,0.03276518308063211
CALB,HUST,0.05,0.0005,77,145735,0.03269290881556038
CALB,HUST,0.03,0.0005,77,145735,0.03258989396927947
CALB,HUST,0.02,0.0005,77,145735,0.03244400007644271
CALB,HUST,0.015,0.0005,77,145735,0.03228905096970823
CALB,HUST,0.01,0.0005,77,145735,0.03202870146079549
CALB,HUST,0.005,0.0005,77,145735,0.03194927511899763
CALB,HUST,1.0,0.001,77,145735,0.03287761500443639
CALB,HUST,0.5,0.001,77,145735,0.03287569120939195
CALB,HUST,0.2,0.001,77,145735,0.03285065469705286
CALB,HUST,0.1,0.001,77,145735,0.03281032875415398
CALB,HUST,0.05,0.001,77,145735,0.032735386584443506
CALB,HUST,0.03,0.001,77,145735,0.032625909575671214
CALB,HUST,0.02,0.001,77,145735,0.03247566066244662
CALB,HUST,0.015,0.001,77,145735,0.032318256578126314
CALB,HUST,0.01,0.001,77,145735,0.032052592277686656
CALB,HUST,0.005,0.001,77,145735,0.0319672307521962
CALB,HUST,1.0,0.002,77,145735,0.032901132462083094
CALB,HUST,0.5,0.002,77,145735,0.03289783739419284
CALB,HUST,0.2,0.002,77,145735,0.03287105285654415
CALB,HUST,0.1,0.002,77,145735,0.03283035340337469
CALB,HUST,0.05,0.002,77,145735,0.03275390313520735
CALB,HUST,0.03,0.002,77,145735,0.032642457285028285
CALB,HUST,0.02,0.002,77,145735,0.03249069838302731
CALB,HUST,0.015,0.002,77,145735,0.032331996543619866
CALB,HUST,0.01,0.002,77,145735,0.03206410606319892
CALB,HUST,0.005,0.002,77,145735,0.031978058736734837
CALB,HUST,1.0,0.005,77,145735,0.032914860377999754
CALB,HUST,0.5,0.005,77,145735,0.03290969823132773
CALB,HUST,0.2,0.005,77,145735,0.032881556410991906
CALB,HUST,0.1,0.005,77,145735,0.03284084019941578
CALB,HUST,0.05,0.005,77,145735,0.03276380398621768
CALB,HUST,0.03,0.005,77,145735,0.03265072657220193
CALB,HUST,0.02,0.005,77,145735,0.0324976104053439
CALB,HUST,0.015,0.005,77,145735,0.03233794735369099
CALB,HUST,0.01,0.005,77,145735,0.03206955613524468
CALB,HUST,0.005,0.005,77,145735,0.03198297330974941
CALB,MATR,1.0,0.0,169,139148,0.07114014005672753
CALB,MATR,0.5,0.0,169,139148,0.07003367625134299
CALB,MATR,0.2,0.0,169,139148,0.06844400175165263
CALB,MATR,0.1,0.0,169,139148,0.06693359352201392
CALB,MATR,0.05,0.0,169,139148,0.06496561084096794
CALB,MATR,0.03,0.0,169,139148,0.0630801072295112
CALB,MATR,0.02,0.0,169,139148,0.06118953993805282
CALB,MATR,0.015,0.0,169,139148,0.05956457841781184
CALB,MATR,0.01,0.0,169,139148,0.05681240969405394
CALB,MATR,0.005,0.0,169,139148,0.05120673684099545
CALB,MATR,1.0,0.00025,169,139148,0.06869343798565514
CALB,MATR,0.5,0.00025,169,139148,0.06746731642405056
CALB,MATR,0.2,0.00025,169,139148,0.06578240728610678
CALB,MATR,0.1,0.00025,169,139148,0.06433886058145571
CALB,MATR,0.05,0.00025,169,139148,0.06259447413271543
CALB,MATR,0.03,0.00025,169,139148,0.060957477691115376
CALB,MATR,0.02,0.00025,169,139148,0.0593040722524935
CALB,MATR,0.015,0.00025,169,139148,0.05783958251253605
CALB,MATR,0.01,0.00025,169,139148,0.05526519279705167
CALB,MATR,0.005,0.00025,169,139148,0.049729827562715614
CALB,MATR,1.0,0.0005,169,139148,0.06770675608167712
CALB,MATR,0.5,0.0005,169,139148,0.06642748545447609
CALB,MATR,0.2,0.0005,169,139148,0.06474868717012437
CALB,MATR,0.1,0.0005,169,139148,0.06335512466056291
CALB,MATR,0.05,0.0005,169,139148,0.06168758577035062
CALB,MATR,0.03,0.0005,169,139148,0.06014129296746509
CALB,MATR,0.02,0.0005,169,139148,0.05858528570927219
CALB,MATR,0.015,0.0005,169,139148,0.05719730187353025
CALB,MATR,0.01,0.0005,169,139148,0.05467689700318621
CALB,MATR,0.005,0.0005,169,139148,0.04913717484662197
CALB,MATR,1.0,0.001,169,139148,0.0666224581634105
CALB,MATR,0.5,0.001,169,139148,0.06530658361500025
CALB,MATR,0.2,0.001,169,139148,0.06365257976209482
CALB,MATR,0.1,0.001,169,139148,0.06231947598499606
CALB,MATR,0.05,0.001,169,139148,0.06074042735655289
CALB,MATR,0.03,0.001,169,139148,0.05931676660852239
CALB,MATR,0.02,0.001,169,139148,0.057870857539670056
CALB,MATR,0.015,0.001,169,139148,0.0565325878363562
CALB,MATR,0.01,0.001,169,139148,0.05406362528293915
CALB,MATR,0.005,0.001,169,139148,0.04851096755639359
CALB,MATR,1.0,0.002,169,139148,0.06552263200026211
CALB,MATR,0.5,0.002,169,139148,0.06419003381384528
CALB,MATR,0.2,0.002,169,139148,0.0625908553659394
CALB,MATR,0.1,0.002,169,139148,0.061316558667822894
CALB,MATR,0.05,0.002,169,139148,0.059871887701426214
CALB,MATR,0.03,0.002,169,139148,0.05857895997375291
CALB,MATR,0.02,0.002,169,139148,0.05720982818834861
CALB,MATR,0.015,0.002,169,139148,0.05591103463477552
CALB,MATR,0.01,0.002,169,139148,0.053468193768519606
CALB,MATR,0.005,0.002,169,139148,0.047881440603754065
CALB,MATR,1.0,0.005,169,139148,0.06420413537774777
CALB,MATR,0.5,0.005,169,139148,0.06292597152817755
CALB,MATR,0.2,0.005,169,139148,0.061430439478932834
CALB,MATR,0.1,0.005,169,139148,0.06030567260686183
CALB,MATR,0.05,0.005,169,139148,0.059039242969890965
CALB,MATR,0.03,0.005,169,139148,0.05783134185060151
CALB,MATR,0.02,0.005,169,139148,0.05649744852412933
CALB,MATR,0.015,0.005,169,139148,0.05521976475931344
CALB,MATR,0.01,0.005,169,139148,0.05278884307880084
CALB,MATR,0.005,0.005,169,139148,0.047136693251964304
CALB,MICH,1.0,0.0,40,19681,0.08452247234598033
CALB,MICH,0.5,0.0,40,19681,0.08499999987778711
CALB,MICH,0.2,0.0,40,19681,0.08635949018418264
CALB,MICH,0.1,0.0,40,19681,0.08832713937691598
CALB,MICH,0.05,0.0,40,19681,0.09107957581756186
CALB,MICH,0.03,0.0,40,19681,0.09307983065212164
CALB,MICH,0.02,0.0,40,19681,0.09453119062953001
CALB,MICH,0.015,0.0,40,19681,0.0956008906078293
CALB,MICH,0.01,0.0,40,19681,0.09792757579669446
CALB,MICH,0.005,0.0,40,19681,0.1066431755492944
CALB,MICH,1.0,0.00025,40,19681,0.08560847411269616
CALB,MICH,0.5,0.00025,40,19681,0.08623083744593776
CALB,MICH,0.2,0.00025,40,19681,0.08771843901216149
CALB,MICH,0.1,0.00025,40,19681,0.0897257025361152
CALB,MICH,0.05,0.00025,40,19681,0.09249721397431179
CALB,MICH,0.03,0.00025,40,19681,0.09448032805202347
CALB,MICH,0.02,0.00025,40,19681,0.09587996564524867
CALB,MICH,0.015,0.00025,40,19681,0.09692992007109906
CALB,MICH,0.01,0.00025,40,19681,0.09911488852279998
CALB,MICH,0.005,0.00025,40,19681,0.10683164557587796
CALB,MICH,1.0,0.0005,40,19681,0.08644318014972807
CALB,MICH,0.5,0.0005,40,19681,0.08720065430320212
CALB,MICH,0.2,0.0005,40,19681,0.08875026923700703
CALB,MICH,0.1,0.0005,40,19681,0.09079153242501882
CALB,MICH,0.05,0.0005,40,19681,0.09359274473823956
CALB,MICH,0.03,0.0005,40,19681,0.09561289342726306
CALB,MICH,0.02,0.0005,40,19681,0.09700659505217493
CALB,MICH,0.015,0.0005,40,19681,0.09801162544658934
CALB,MICH,0.01,0.0005,40,19681,0.09996781592449468
CALB,MICH,0.005,0.0005,40,19681,0.10692416762017616
CALB,MICH,1.0,0.001,40,19681,0.08767498868623096
CALB,MICH,0.5,0.001,40,19681,0.08852958306077026
CALB,MICH,0.2,0.001,40,19681,0.09018013817189716
CALB,MICH,0.1,0.001,40,19681,0.09227026034438639
CALB,MICH,0.05,0.001,40,19681,0.09508028343292511
CALB,MICH,0.03,0.001,40,19681,0.09707566049095986
CALB,MICH,0.02,0.001,40,19681,0.09838996974208035
CALB,MICH,0.015,0.001,40,19681,0.0992533986698198
CALB,MICH,0.01,0.001,40,19681,0.10085854706964523
CALB,MICH,0.005,0.001,40,19681,0.10698841406077482
CALB,MICH,1.0,0.002,40,19681,0.08909608218133042
CALB,MICH,0.5,0.002,40,19681,0.0899158444091977
CALB,MICH,0.2,0.002,40,19681,0.09156588551413417
CALB,MICH,0.1,0.002,40,19681,0.09364155160266187
CALB,MICH,0.05,0.002,40,19681,0.09635351276089965
CALB,MICH,0.03,0.002,40,19681,0.09826694230309799
CALB,MICH,0.02,0.002,40,19681,0.09946749065938275
CALB,MICH,0.015,0.002,40,19681,0.10018671502794096
CALB,MICH,0.01,0.002,40,19681,0.10142662075989435
CALB,MICH,0.005,0.002,40,19681,0.10704294446050366
CALB,MICH,1.0,0.005,40,19681,0.09036935734609719
CALB,MICH,0.5,0.005,40,19681,0.09105507074543129
CALB,MICH,0.2,0.005,40,19681,0.09262219498131033
CALB,MICH,0.1,0.005,40,19681,0.094640308624106
CALB,MICH,0.05,0.005,40,19681,0.09726214443942174
CALB,MICH,0.03,0.005,40,19681,0.09913046324411397
CALB,MICH,0.02,0.005,40,19681,0.10023626319173387
CALB,MICH,0.015,0.005,40,19681,0.10083359333842008
CALB,MICH,0.01,0.005,40,19681,0.10182066417452991
CALB,MICH,0.005,0.005,40,19681,0.10710303452515857
CALB,MICH_EXP,1.0,0.0,18,6455,0.213314699150196
CALB,MICH_EXP,0.5,0.0,18,6455,0.15022456361883368
CALB,MICH_EXP,0.2,0.0,18,6455,0.10970972641013937
CALB,MICH_EXP,0.1,0.0,18,6455,0.09803476621906623
CALB,MICH_EXP,0.05,0.0,18,6455,0.0930841980913703
CALB,MICH_EXP,0.03,0.0,18,6455,0.09073990403525559
CALB,MICH_EXP,0.02,0.0,18,6455,0.08885949363939322
CALB,MICH_EXP,0.015,0.0,18,6455,0.08787602700583023
CALB,MICH_EXP,0.01,0.0,18,6455,0.08736095268156736
CALB,MICH_EXP,0.005,0.0,18,6455,0.09062151626768308
CALB,MICH_EXP,1.0,0.00025,18,6455,0.2043769085131661
CALB,MICH_EXP,0.5,0.00025,18,6455,0.14256542010562254
CALB,MICH_EXP,0.2,0.00025,18,6455,0.10331936290194382
CALB,MICH_EXP,0.1,0.00025,18,6455,0.09520923785600398
CALB,MICH_EXP,0.05,0.00025,18,6455,0.09220195710029987
CALB,MICH_EXP,0.03,0.00025,18,6455,0.09024256029577192
CALB,MICH_EXP,0.02,0.00025,18,6455,0.08854220032764032
CALB,MICH_EXP,0.015,0.00025,18,6455,0.08763172636462715
CALB,MICH_EXP,0.01,0.00025,18,6455,0.08721521631406222
CALB,MICH_EXP,0.005,0.00025,18,6455,0.09038782390618666
CALB,MICH_EXP,1.0,0.0005,18,6455,0.19648278041067554
CALB,MICH_EXP,0.5,0.0005,18,6455,0.13432635547852095
CALB,MICH_EXP,0.2,0.0005,18,6455,0.10000166767564667
CALB,MICH_EXP,0.1,0.0005,18,6455,0.09433950909570699
CALB,MICH_EXP,0.05,0.0005,18,6455,0.09179949254497462
CALB,MICH_EXP,0.03,0.0005,18,6455,0.08999127157841734
CALB,MICH_EXP,0.02,0.0005,18,6455,0.08838194133071879
CALB,MICH_EXP,0.015,0.0005,18,6455,0.08747138797489179
CALB,MICH_EXP,0.01,0.0005,18,6455,0.08704185406983185
CALB,MICH_EXP,0.005,0.0005,18,6455,0.09014105198655034
CALB,MICH_EXP,1.0,0.001,18,6455,0.1807498024801222
CALB,MICH_EXP,0.5,0.001,18,6455,0.12045954037554633
CALB,MICH_EXP,0.2,0.001,18,6455,0.09755608005462829
CALB,MICH_EXP,0.1,0.001,18,6455,0.09343557781634336
CALB,MICH_EXP,0.05,0.001,18,6455,0.0913371401673172
CALB,MICH_EXP,0.03,0.001,18,6455,0.08968846702055695
CALB,MICH_EXP,0.02,0.001,18,6455,0.08812466211331207
CALB,MICH_EXP,0.015,0.001,18,6455,0.08716435601942694
CALB,MICH_EXP,0.01,0.001,18,6455,0.08666767612329275
CALB,MICH_EXP,0.005,0.001,18,6455,0.08962895718356755
CALB,MICH_EXP,1.0,0.002,18,6455,0.15222224266584894
CALB,MICH_EXP,0.5,0.002,18,6455,0.11001444105000388
CALB,MICH_EXP,0.2,0.002,18,6455,0.09545455448775035
CALB,MICH_EXP,0.1,0.002,18,6455,0.09260358099014897
CALB,MICH_EXP,0.05,0.002,18,6455,0.09084397242182154
CALB,MICH_EXP,0.03,0.002,18,6455,0.08927273617147623
CALB,MICH_EXP,0.02,0.002,18,6455,0.0876295627909953
CALB,MICH_EXP,0.015,0.002,18,6455,0.08654684306366905
CALB,MICH_EXP,0.01,0.002,18,6455,0.08589951290136158
CALB,MICH_EXP,0.005,0.002,18,6455,0.08857356262465245
CALB,MICH_EXP,1.0,0.005,18,6455,0.12344842662318202
CALB,MICH_EXP,0.5,0.005,18,6455,0.1012051892770183
CALB,MICH_EXP,0.2,0.005,18,6455,0.09347010518229504
CALB,MICH_EXP,0.1,0.005,18,6455,0.09173403384607265
CALB,MICH_EXP,0.05,0.005,18,6455,0.09009257546600735
CALB,MICH_EXP,0.03,0.005,18,6455,0.08834734022324627
CALB,MICH_EXP,0.02,0.005,18,6455,0.08625236189156683
CALB,MICH_EXP,0.015,0.005,18,6455,0.08484055084640857
CALB,MICH_EXP,0.01,0.005,18,6455,0.08383121690149496
CALB,MICH_EXP,0.005,0.005,18,6455,0.0860276748731511
CALB,RWTH,1.0,0.0,48,105140,0.1446512433703952
CALB,RWTH,0.5,0.0,48,105140,0.14487732779793663
CALB,RWTH,0.2,0.0,48,105140,0.14498039622208883
CALB,RWTH,0.1,0.0,48,105140,0.14488571518812862
CALB,RWTH,0.05,0.0,48,105140,0.1446072784884273
CALB,RWTH,0.03,0.0,48,105140,0.1442072344758065
CALB,RWTH,0.02,0.0,48,105140,0.14369000647347677
CALB,RWTH,0.015,0.0,48,105140,0.14319749746380822
CALB,RWTH,0.01,0.0,48,105140,0.14237785419745766
CALB,RWTH,0.005,0.0,48,105140,0.14181228518610187
CALB,RWTH,1.0,0.00025,48,105140,0.14639589101239295
CALB,RWTH,0.5,0.00025,48,105140,0.14648781302810793
CALB,RWTH,0.2,0.00025,48,105140,0.1464352313254423
CALB,RWTH,0.1,0.00025,48,105140,0.14627548461756615
CALB,RWTH,0.05,0.00025,48,105140,0.14592745584442052
CALB,RWTH,0.03,0.00025,48,105140,0.145408947103933
CALB,RWTH,0.02,0.00025,48,105140,0.14474226821575312
CALB,RWTH,0.015,0.00025,48,105140,0.1440944575083847
CALB,RWTH,0.01,0.00025,48,105140,0.14298904016682235
CALB,RWTH,0.005,0.00025,48,105140,0.14195238136564112
CALB,RWTH,1.0,0.0005,48,105140,0.14652286867158623
CALB,RWTH,0.5,0.0005,48,105140,0.14658430678217207
CALB,RWTH,0.2,0.0005,48,105140,0.14653371347044244
CALB,RWTH,0.1,0.0005,48,105140,0.1463881398067748
CALB,RWTH,0.05,0.0005,48,105140,0.14605594746014713
CALB,RWTH,0.03,0.0005,48,105140,0.14554580773786688
CALB,RWTH,0.02,0.0005,48,105140,0.1448794658588166
CALB,RWTH,0.015,0.0005,48,105140,0.1442206302534169
CALB,RWTH,0.01,0.0005,48,105140,0.14309357168415224
CALB,RWTH,0.005,0.0005,48,105140,0.14201348945626113
CALB,RWTH,1.0,0.001,48,105140,0.14660666246255843
CALB,RWTH,0.5,0.001,48,105140,0.1466512121959955
CALB,RWTH,0.2,0.001,48,105140,0.14661096105688307
CALB,RWTH,0.1,0.001,48,105140,0.14647360650859667
CALB,RWTH,0.05,0.001,48,105140,0.14615284791743774
CALB,RWTH,0.03,0.001,48,105140,0.1456583226883242
CALB,RWTH,0.02,0.001,48,105140,0.14500161337141465
CALB,RWTH,0.015,0.001,48,105140,0.1443404357773446
CALB,RWTH,0.01,0.001,48,105140,0.14322337900656248
CALB,RWTH,0.005,0.001,48,105140,0.1421431231423493
CALB,RWTH,1.0,0.002,48,105140,0.1466716231095151
CALB,RWTH,0.5,0.002,48,105140,0.1467041202689599
CALB,RWTH,0.2,0.002,48,105140,0.14666763098603286
CALB,RWTH,0.1,0.002,48,105140,0.14653526587552262
CALB,RWTH,0.05,0.002,48,105140,0.14623486010008077
CALB,RWTH,0.03,0.002,48,105140,0.14575860223366713
CALB,RWTH,0.02,0.002,48,105140,0.14512249376888695
CALB,RWTH,0.015,0.002,48,105140,0.14448676276870412
CALB,RWTH,0.01,0.002,48,105140,0.1434104777715962
CALB,RWTH,0.005,0.002,48,105140,0.14240087491854156
CALB,RWTH,1.0,0.005,48,105140,0.14672421910578273
CALB,RWTH,0.5,0.005,48,105140,0.146745122870063
CALB,RWTH,0.2,0.005,48,105140,0.14670857467403906
CALB,RWTH,0.1,0.005,48,105140,0.1466023050425049
CALB,RWTH,0.05,0.005,48,105140,0.1463571737251002
CALB,RWTH,0.03,0.005,48,105140,0.14594671515391974
CALB,RWTH,0.02,0.005,48,105140,0.14538342927128436
CALB,RWTH,0.015,0.005,48,105140,0.1448234658336234
CALB,RWTH,0.01,0.005,48,105140,0.1438889902976755
CALB,RWTH,0.005,0.005,48,105140,0.143167130821704
CALB,SDU,1.0,0.0,86,48716,0.11869691916964074
CALB,SDU,0.5,0.0,86,48716,0.1171501396514909
CALB,SDU,0.2,0.0,86,48716,0.11499153284801487
CALB,SDU,0.1,0.0,86,48716,0.11294710561568648
CALB,SDU,0.05,0.0,86,48716,0.10982146391665426
CALB,SDU,0.03,0.0,86,48716,0.10612853928845177
CALB,SDU,0.02,0.0,86,48716,0.10207122055674442
CALB,SDU,0.015,0.0,86,48716,0.09861531643255626
CALB,SDU,0.01,0.0,86,48716,0.09277208524857895
CALB,SDU,0.005,0.0,86,48716,0.08037108351600758
CALB,SDU,1.0,0.00025,86,48716,0.11705623540382427
CALB,SDU,0.5,0.00025,86,48716,0.11562203065799066
CALB,SDU,0.2,0.00025,86,48716,0.11360263826718965
CALB,SDU,0.1,0.00025,86,48716,0.11188668860230752
CALB,SDU,0.05,0.00025,86,48716,0.10898582423379377
CALB,SDU,0.03,0.00025,86,48716,0.10540626628844163
CALB,SDU,0.02,0.00025,86,48716,0.10145059657836514
CALB,SDU,0.015,0.00025,86,48716,0.09805912239209374
CALB,SDU,0.01,0.00025,86,48716,0.09224206187441418
CALB,SDU,0.005,0.00025,86,48716,0.08004829425035667
CALB,SDU,1.0,0.0005,86,48716,0.11612769732408723
CALB,SDU,0.5,0.0005,86,48716,0.11465046986274749
CALB,SDU,0.2,0.0005,86,48716,0.11277696790618943
CALB,SDU,0.1,0.0005,86,48716,0.11122995782072133
CALB,SDU,0.05,0.0005,86,48716,0.10839809904947614
CALB,SDU,0.03,0.0005,86,48716,0.10488839397081291
